Recipient,Agency,Funding_Agency,State,City,Action_Date,Start_Date,Award_Value,Industry,Award_Description
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,10/12/2020,10/12/2020 0:00,524.2,SAW BLADE AND HANDTOOL MANUFACTURING,"DIGGER,POSTHOLE,HIN"
"P.J.K. FOOD SERVICE, LLC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,HYATTSVILLE,10/13/2020,10/13/2020 0:00,350.02,PERISHABLE PREPARED FOOD MANUFACTURING,"4551387317!GRAPEFRUIT, FRESH,"
"COMSACO, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,NORFOLK,3/6/2021,3/6/2021 0:00,2466,CURRENT-CARRYING WIRING DEVICE MANUFACTURING,8508039836!TERMINAL BOX
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,10/13/2020,10/13/2020 0:00,6339.66,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551379381!CIRCUIT ADULT EVAQUA
ATKINS-KCI A JOINT VENTURE,DEPARTMENT OF TRANSPORTATION (DOT),DEPARTMENT OF TRANSPORTATION (DOT),VA,ARLINGTON,10/29/2020,3/13/2018 0:00,438041.37,ENGINEERING SERVICES,"GWMP 11(4) 11(7)  CM #4 DECREASE CONTRACT AMOUNT BY $59.30 NO CHANGE TO CONTRACT TIME  THE TOTAL AMOUNT OF THE CONTRACT IS HEREBY DECREASED BY $59.30 FROM $438,100.67 TO $438,041.37."
GREATER MARYLAND TOOL & MFG. CORP.,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,OAKLAND,5/11/2021,5/11/2021 0:00,551,"BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING","STUD,STL,RND/SQ"
JLWS ENTERPRISES INCORPORATED,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,NORFOLK,12/17/2020,12/17/2020 0:00,376.6,CARBON PAPER AND INKED RIBBON MANUFACTURING,"MOUSE, DATA ENTRY: - SEE ATTACHED DOCUMENT FOR DETAIL."
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,7/6/2021,7/6/2021 0:00,63.75,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554048207!TRBO REGION 3
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,7/21/2021,7/21/2021 0:00,525.51,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554189064!TRBO REGION 3
"ATLANTIC DIVING SUPPLY, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,VIRGINIA BEACH,6/27/2021,6/27/2021 0:00,500,PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,"8508325965!SPECTACLES,INDUSTRI"
UNISYS CORPORATION,DEPARTMENT OF COMMERCE (DOC),DEPARTMENT OF COMMERCE (DOC),VA,ALEXANDRIA,10/23/2020,11/1/2018 0:00,4407967.19,COMPUTER SYSTEMS DESIGN SERVICES,INTERNET / INTRANET SUPPORT SERVICES POP:  11/1/2018  - 10/31/2020
"ECHO FIVE GROUP, LLC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),DC,WASHINGTON NAVY YARD,1/21/2021,9/30/2020 0:00,1534039.92,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",ORGANIZATION EFFECTIVENESS CONSULTING
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,7/21/2021,7/21/2021 0:00,169.75,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,"STAPLES, STANDARD, FULL STRIP"
"MANTECH ADVANCED SYSTEMS INTERNATIONAL, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,FAIRFAX,11/24/2020,2/7/2020 12:02,10316181,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)",THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND THE CONTRACT.
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,11/19/2020,11/19/2020 0:00,5556.14,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551784302!TRBO REGION 3
"DIGITAL MANAGEMENT, LLC",DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),MD,BETHESDA,9/3/2021,9/15/2021 0:00,9283050.2,OTHER COMPUTER RELATED SERVICES,FY21 ELECTRONIC HANDBOOKS OPERATIONAL ENHANCEMENTS
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,5/7/2021,5/7/2021 0:00,43.66,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4553461656!TRBO REGION 3
