Recipient,Agency,Funding_Agency,State,City,Action_Date,Start_Date,Award_Value,Industry,Award_Description
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,6/30/2021,6/30/2021 0:00,214.85,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554010369!TRBO REGION 3
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,PATUXENT RIVER,4/27/2021,5/1/2021 0:00,766693,ENGINEERING SERVICES,PMA 280 SYSTEMS ENGINEERING SUPPORT
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,11/18/2020,11/18/2020 0:00,8.24,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551769383!TRBO REGION 3
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,3/30/2021,3/30/2021 0:00,608.8,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,KEYBOARD - WIRED
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,8/23/2021,8/23/2021 0:00,583.77,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554500086!TRNQT APL BLK 37.5IN C-A-T SM 1 HND 1
"AGILE DEFENSE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,HYATTSVILLE,6/15/2021,9/27/2019 0:00,31329597.25,OTHER COMPUTER RELATED SERVICES,INCREMENTAL FUNDING MODIFICATION FOR THE APPLICATIONS MANAGEMENT AND DEVELOPMENT TASK ORDER.
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,7/30/2021,7/30/2021 0:00,52.36,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554280510!COVER PRB SRTMP DISP
"GOVERNMENT SCIENTIFIC SOURCE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,1/14/2021,1/14/2021 0:00,1710.92,ALL OTHER MISCELLANEOUS MANUFACTURING,4552238010!QUANTIFY PLUS LIQ
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,6/14/2021,6/14/2021 0:00,49.69,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,KEYBOARD - WIRED
FEDERAL RESOURCES SUPPLY COMPANY,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,STEVENSVILLE,2/17/2021,2/17/2021 0:00,11900,SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,4552601641!PP 3102 AUTO-START KIT
BATTERY SYSTEMS LLC,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,FREDERICK,12/15/2020,6/29/2020 0:00,69260,ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,REPAIR UNINITERRUPTABLE POWER SUPPLY
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,CHESAPEAKE,2/24/2021,2/13/2020 0:00,20242.71,BARE PRINTED CIRCUIT BOARD MANUFACTURING,"PROCESSOR,SIGNAL DA"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,11/27/2020,11/27/2020 0:00,231.48,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551831153!TRBO REGION 3
"MERCOM, INCORPORATED",DEPARTMENT OF STATE (DOS),DEPARTMENT OF STATE (DOS),DC,WASHINGTON,8/2/2021,8/2/2021 0:00,58379.5,OTHER COMPUTER RELATED SERVICES,THIS REQUEST IS FOR 50 DESKTOP PCS
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,8/16/2021,8/16/2021 0:00,165.3,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"GLOVES,DISPOSABLE,NITRILE:AMBIDEXTROUS,POWDER-FREE,LATEX-FREE,INDUSTRIAL GRADE,NITRILE GLOVES FOR GENERAL PURPOSE USE. NITRILE SHALL BE SOFT FORMULATION ALLOWS GLOVES TO CONFORM TO HAND. 4 MILS THICK MIN. SIZE LARGE, 9 1/2"" . U/I BX (100 EA"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,9/2/2021,9/2/2021 0:00,5822.82,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554640354!SET ADM 117IN 20 GTT/L 6IN 25ML IV ALR
"TSRC, INC.",DEPARTMENT OF STATE (DOS),DEPARTMENT OF STATE (DOS),MD,HANOVER,6/2/2021,6/2/2021 0:00,114.44,PRIMARY BATTERY MANUFACTURING,BETTERIES
"CENTRAL LAKE ARMOR EXPRESS, INC.",DEPARTMENT OF JUSTICE (DOJ),DEPARTMENT OF JUSTICE (DOJ),DC,WASHINGTON,7/20/2021,4/23/2021 0:00,27839.4,OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,BALLISTIC HELMETS FOR USMS DEPUTIES
"PRODUCE SOURCE PARTNERS, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHLAND,2/15/2021,2/15/2021 0:00,151.27,PERISHABLE PREPARED FOOD MANUFACTURING,"4552521547!TOMATOES, GRAPE, FRESH,"
BOOZ ALLEN HAMILTON INC.,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MCLEAN,7/20/2021,7/9/2018 0:00,845313.5,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,: PKS-WARD-LIMOGES-BT TO 31 UNEXERCISED OPTION CLINS 1001 AND 1002 DESCOPE
RICK AVIATION INC,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,NEWPORT NEWS,1/10/2021,1/10/2021 0:00,1580.2,PETROLEUM REFINERIES,"4552169976!TURBINE FUEL,AVIATION, JAA"
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,2/5/2021,2/5/2021 0:00,288.9,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"BROOM,PUSH, FOR ROUGH SURFACES, BLACK METAL, DETACHABLE HANDLE. LENGTH 60"" , BLOCK WIDTH 24"" , THICKNESS 7/8"" . MADE OF HARDWOOD. STIFF POLYPROPYLENE FIBERS 3/75"" LONG, FLEXIBLE ELASTOMER CONNECTOR. U/I EA"
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,9/9/2021,9/9/2021 0:00,176.2,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4554709981!SYSTEM CULTURE COLLECTION AND TRANSPORT
"4 STAR TECHNOLOGIES, INC.",DEPARTMENT OF THE TREASURY (TREAS),DEPARTMENT OF THE TREASURY (TREAS),VA,VIRGINIA BEACH,10/21/2020,10/21/2020 20:01,37938.41,OTHER COMPUTER RELATED SERVICES,NUIX S/W MAINTENANCE
