Recipient,Agency,Funding_Agency,State,City,Action_Date,Start_Date,Award_Value,Industry,Award_Description
NATIONAL INDUSTRIES FOR THE BLIND,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,ALEXANDRIA,11/16/2020,11/16/2020 0:00,684.2,OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,"GLOVES,DISPOSABLE,NITRILE:AMBIDEXTROUS,POWDER-FREE,LATEX-FREE,INDUSTRIAL GRADE,NITRILE GLOVES FOR GENERAL PURPOSE USE. NITRILE SHALL BE SOFT FORMULATION ALLOWS GLOVES TO CONFORM TO HAND. 4 MILS THICK MIN. SIZE LARGE, 9 1/2"" . U/I BX (100 EA"
"METRO OFFICE SOLUTIONS, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,BELCAMP,6/2/2021,6/2/2021 0:00,1095.89,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,"LOCKER,CELL PHONE"
DELA TECHNOLOGY CORPORATION,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,ROCKVILLE,10/8/2020,10/8/2020 0:00,7896.96,AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING,"8507708211!FILTER ELEMENT,AIR"
"CACI TECHNOLOGIES, LLC",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),MD,ABERDEEN PROVING GROUND,9/29/2021,5/4/2015 12:05,25043149.04,ENGINEERING SERVICES,MODIFICATION 74 DE-OBLIGATES FUNDS
"METRO OFFICE SOLUTIONS, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,BELCAMP,2/4/2021,2/4/2021 0:00,1669.51,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,"LEFT PEDESTAL DESK, MAHOGANY"
SIGNATURE FLIGHT SUPPORT CORPORATION,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,STERLING,9/3/2021,9/3/2021 0:00,10123.14,PETROLEUM REFINERIES,"4554682951!TURBINE FUEL,AVIATION, JAA"
"METRO OFFICE SOLUTIONS, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,BELCAMP,7/18/2021,7/18/2021 0:00,1284.22,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,FILING CABINET
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,4/15/2021,4/15/2021 0:00,175.18,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4553185535!TRBO REGION 3
ATLANTIC DIVING SUPPLY INCORPORATED,GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),VA,VIRGINIA BEACH,2/1/2021,2/1/2021 0:00,86.45,ALL OTHER MISCELLANEOUS MANUFACTURING,"GLOVES,MEN' S AND WOMEN' S SIZE LARGE. U/I PG (5 PAIR PER PG), MECHANIX WEAR GVMP-PKF55-010, CAMELBAK IMPACT CT GLOVES MPCT05-10, OR EQUAL."
MCI COMMUNICATIONS SERVICES INCORPORATED,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHBURN,2/5/2021,12/7/2019 0:00,4858.61,WIRED TELECOMMUNICATIONS CARRIERS,NXEV005510EBM
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,9/17/2021,9/17/2021 0:00,145345.42,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,SHREDDER
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,5/11/2021,5/11/2021 0:00,2679.96,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4553502412!GOLDEN HOUR ONE-V 1S
"ADAMS, SUSAN H",DEPARTMENT OF JUSTICE (DOJ),DEPARTMENT OF JUSTICE (DOJ),DC,WASHINGTON,2/26/2021,2/25/2019 0:00,16900,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,BASIC SURVEILLANCE TRAINING COURSE
"OWENS & MINOR DISTRIBUTION, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,MECHANICSVILLE,12/15/2020,12/15/2020 0:00,136.84,"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",4551998686!TRBO REGION 3
"GOVERNMENT SCIENTIFIC SOURCE, INC.",DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,RESTON,3/26/2021,3/26/2021 0:00,2370.62,ALL OTHER MISCELLANEOUS MANUFACTURING,4552962863!PRECISION 15L SHAKING WATER
"MITCHELL GROUP, INC. (THE)",DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),DC,WASHINGTON,11/1/2020,11/1/2020 0:00,34956.15,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES","HHSN272201700050I; TO 28 / TO 75N93021F00003; MG; MALI SERVICE CENTER; POP: 11/1/2020 TO 6/30/21; TO COVER DIRECT LABOR, INDIRECT COSTS AND ODCS ASSOCIATED WITH THE MANAGEMENT OF THE MALI SERVICE CENTER; LPD TASK ORDER 28"
MCI COMMUNICATIONS SERVICES INCORPORATED,DEPARTMENT OF DEFENSE (DOD),DEPARTMENT OF DEFENSE (DOD),VA,ASHBURN,5/5/2021,12/7/2019 0:00,5135.84,WIRED TELECOMMUNICATIONS CARRIERS,NXEV005510EBM
"ADAMS, SUSAN H",DEPARTMENT OF JUSTICE (DOJ),DEPARTMENT OF JUSTICE (DOJ),DC,WASHINGTON,12/18/2020,2/25/2019 0:00,51900,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,BASIC SURVEILLANCE TRAINING COURSE
"OFFICE DEPOT, INC.",GENERAL SERVICES ADMINISTRATION (GSA),GENERAL SERVICES ADMINISTRATION (GSA),MD,COLUMBIA,3/12/2021,3/12/2021 0:00,1703.68,OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,"CASE, SLIM CD, CLEAR"
"THUNDERCAT TECHNOLOGY, LLC",DEPARTMENT OF STATE (DOS),DEPARTMENT OF STATE (DOS),VA,RESTON,8/23/2021,8/24/2021 0:00,83965.64,OTHER COMPUTER RELATED SERVICES,DOMESTIC NETWORKING FOR RADIO PROGRAMS
"JLWS ENTERPRISES, INC.",DEPARTMENT OF HOMELAND SECURITY (DHS),DEPARTMENT OF HOMELAND SECURITY (DHS),VA,NORFOLK,4/15/2021,4/16/2021 0:00,98728.41,OFFICE EQUIPMENT MERCHANT WHOLESALERS,"THE PURPOSE OF THE PURCHASE ORDER IS TO PROVIDE MS-RSC LOCAL HIRE EQUIPMENT TO TEXAS, MARYLAND AND VIRGINIA"
