contract_transaction_unique_key,contract_award_unique_key,award_id_piid,modification_number,transaction_number,parent_award_agency_id,parent_award_agency_name,parent_award_id_piid,parent_award_modification_number,federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,current_total_value_of_award
4732_-NONE-_47QSEA21P02XE_0_-NONE-_0,CONT_AWD_47QSEA21P02XE_4732_-NONE-_-NONE-,47QSEA21P02XE,0,0,,,,,56.04,56.04,56.04,56.04
9700_9700_SPE2D521F261W_0_SPE2D117D0012_0,CONT_AWD_SPE2D521F261W_9700_SPE2D117D0012_9700,SPE2D521F261W,0,0,9700,DEPT OF DEFENSE,SPE2D117D0012,0,164.72,164.72,164.72,164.72
9700_9700_SPE30021F3U39_0_SPE30018D4036_0,CONT_AWD_SPE30021F3U39_9700_SPE30018D4036_9700,SPE30021F3U39,0,0,9700,DEPT OF DEFENSE,SPE30018D4036,0,751.85,751.85,751.85,751.85
9700_9700_SPE2DV21FKE95_0_SPE2DV17D7001_0,CONT_AWD_SPE2DV21FKE95_9700_SPE2DV17D7001_9700,SPE2DV21FKE95,0,0,9700,DEPT OF DEFENSE,SPE2DV17D7001,0,2861.16,2861.16,2861.16,2861.16
4732_4732_47QSEA21F076W_0_47QSEA20A000C_0,CONT_AWD_47QSEA21F076W_4732_47QSEA20A000C_4732,47QSEA21F076W,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSEA20A000C,PO0004,181.41,181.41,181.41,181.41
9700_9700_SPE3SU21F7HHG_0_SPE30018DS320_0,CONT_AWD_SPE3SU21F7HHG_9700_SPE30018DS320_9700,SPE3SU21F7HHG,0,0,9700,DEPT OF DEFENSE,SPE30018DS320,0,151.27,151.27,151.27,151.27
9700_9700_FA701418F5073_P00002_FA701417D5001_0,CONT_AWD_FA701418F5073_9700_FA701417D5001_9700,FA701418F5073,P00002,0,9700,DEPT OF DEFENSE,FA701417D5001,0,0,422656.75,422656.75,845313.5
9700_9700_SPE2D621F5U39_0_SPE2DE16D0021_0,CONT_AWD_SPE2D621F5U39_9700_SPE2DE16D0021_9700,SPE2D621F5U39,0,0,9700,DEPT OF DEFENSE,SPE2DE16D0021,0,260.6,260.6,260.6,260.6
9700_-NONE-_SPE7L421P1180_0_-NONE-_0,CONT_AWD_SPE7L421P1180_9700_-NONE-_-NONE-,SPE7L421P1180,0,0,,,,,17171.14,0,17171.14,0
9700_9700_SPE2DP21F1298_0_SPE2DX15D9383_0,CONT_AWD_SPE2DP21F1298_9700_SPE2DX15D9383_9700,SPE2DP21F1298,0,0,9700,DEPT OF DEFENSE,SPE2DX15D9383,0,232.38,232.38,232.38,232.38
9700_9700_SPE7LX21FAY44_0_SPE7M121D0002_0,CONT_AWD_SPE7LX21FAY44_9700_SPE7M121D0002_9700,SPE7LX21FAY44,0,0,9700,DEPT OF DEFENSE,SPE7M121D0002,0,71.88,71.88,71.88,71.88
9700_9700_SPE60721FB12S_0_SPE60719D0007_0,CONT_AWD_SPE60721FB12S_9700_SPE60719D0007_9700,SPE60721FB12S,0,0,9700,DEPT OF DEFENSE,SPE60719D0007,0,89.62,89.62,89.62,89.62
9700_9700_SPE30021F3T34_0_SPE30017DP305_0,CONT_AWD_SPE30021F3T34_9700_SPE30017DP305_9700,SPE30021F3T34,0,0,9700,DEPT OF DEFENSE,SPE30017DP305,0,809.4,809.4,809.4,809.4
9700_9700_SPE60721FBL4V_0_SPE60017D0124_0,CONT_AWD_SPE60721FBL4V_9700_SPE60017D0124_9700,SPE60721FBL4V,0,0,9700,DEPT OF DEFENSE,SPE60017D0124,0,1580.2,1580.2,1580.2,1580.2
9700_9700_SPE3SU21FFEVH_0_SPE30020DS353_0,CONT_AWD_SPE3SU21FFEVH_9700_SPE30020DS353_9700,SPE3SU21FFEVH,0,0,9700,DEPT OF DEFENSE,SPE30020DS353,0,924.15,924.15,924.15,924.15
9700_-NONE-_SPE7L021V4921_0_-NONE-_0,CONT_AWD_SPE7L021V4921_9700_-NONE-_-NONE-,SPE7L021V4921,0,0,,,,,149.97,149.97,149.97,149.97
4732_4732_47QSWA21F1NKS_0_47QSWA20A0013_0,CONT_AWD_47QSWA21F1NKS_4732_47QSWA20A0013_4732,47QSWA21F1NKS,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSWA20A0013,0,212.6,212.6,212.6,212.6
1443_-NONE-_140P8421P0096_0_-NONE-_0,CONT_AWD_140P8421P0096_1443_-NONE-_-NONE-,140P8421P0096,0,0,,,,,32663.96,32663.96,32663.96,32663.96
9700_-NONE-_SPE7M121V6067_0_-NONE-_0,CONT_AWD_SPE7M121V6067_9700_-NONE-_-NONE-,SPE7M121V6067,0,0,,,,,27765,27765,27765,27765
9700_9700_SPE3SU21F10JB_0_SPE30016DS284_0,CONT_AWD_SPE3SU21F10JB_9700_SPE30016DS284_9700,SPE3SU21F10JB,0,0,9700,DEPT OF DEFENSE,SPE30016DS284,0,436.93,436.93,436.93,436.93
9700_9700_SPE2D621F8NZ7_0_SPE2DE20D0008_0,CONT_AWD_SPE2D621F8NZ7_9700_SPE2DE20D0008_9700,SPE2D621F8NZ7,0,0,9700,DEPT OF DEFENSE,SPE2DE20D0008,0,50.4,50.4,50.4,50.4
9700_9700_SPE3SU21FES10_0_SPE30019DS345_0,CONT_AWD_SPE3SU21FES10_9700_SPE30019DS345_9700,SPE3SU21FES10,0,0,9700,DEPT OF DEFENSE,SPE30019DS345,0,138.59,138.59,138.59,138.59
9700_-NONE-_SPE7M521V2064_0_-NONE-_0,CONT_AWD_SPE7M521V2064_9700_-NONE-_-NONE-,SPE7M521V2064,0,0,,,,,31779.6,31779.6,31779.6,31779.6
9700_9700_SPE2D421F410M_0_SPE2DH19D0020_0,CONT_AWD_SPE2D421F410M_9700_SPE2DH19D0020_9700,SPE2D421F410M,0,0,9700,DEPT OF DEFENSE,SPE2DH19D0020,0,63,63,63,63
9700_9700_SPE30021F40C2_0_SPE30021DW645_0,CONT_AWD_SPE30021F40C2_9700_SPE30021DW645_9700,SPE30021F40C2,0,0,9700,DEPT OF DEFENSE,SPE30021DW645,0,120.6,120.6,120.6,120.6
9700_9700_SPE7M121FAZ21_0_SPE7LX19D0021_0,CONT_AWD_SPE7M121FAZ21_9700_SPE7LX19D0021_9700,SPE7M121FAZ21,0,0,9700,DEPT OF DEFENSE,SPE7LX19D0021,0,1117.17,1117.17,1117.17,1117.17
9700_9700_SPE3SU21FKVGW_0_SPE30021DSA48_0,CONT_AWD_SPE3SU21FKVGW_9700_SPE30021DSA48_9700,SPE3SU21FKVGW,0,0,9700,DEPT OF DEFENSE,SPE30021DSA48,0,194.45,194.45,194.45,194.45
9700_4732_N6264517F0025_P00016_GS00Q14OADU420_0,CONT_AWD_N6264517F0025_9700_GS00Q14OADU420_4732,N6264517F0025,P00016,0,4732,FEDERAL ACQUISITION SERVICE,GS00Q14OADU420,PA0003,0,2577748.6,0,2582550.84
9700_9700_SPE3SU21F9D15_0_SPE30021DS366_0,CONT_AWD_SPE3SU21F9D15_9700_SPE30021DS366_9700,SPE3SU21F9D15,0,0,9700,DEPT OF DEFENSE,SPE30021DS366,0,317.85,317.85,317.85,317.85
1900_-NONE-_19N10221P0453_0_-NONE-_0,CONT_AWD_19N10221P0453_1900_-NONE-_-NONE-,19N10221P0453,0,0,,,,,10617.28,0,10617.28,0
9700_9700_SPE2DB21FF46N_0_SPE2DB20D1047_0,CONT_AWD_SPE2DB21FF46N_9700_SPE2DB20D1047_9700,SPE2DB21FF46N,0,0,9700,DEPT OF DEFENSE,SPE2DB20D1047,0,720.66,720.66,720.66,720.66
1434_-NONE-_140G0219P0274_P00005_-NONE-_0,CONT_AWD_140G0219P0274_1434_-NONE-_-NONE-,140G0219P0274,P00005,0,,,,,14430.64,93435.21,14430.64,93435.21
4732_4732_47QSEA21F3HTX_0_47QSEA18C001J_0,CONT_AWD_47QSEA21F3HTX_4732_47QSEA18C001J_4732,47QSEA21F3HTX,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSEA18C001J,0,164.69,164.69,164.69,164.69
9700_9700_SPE7LX21F9349_0_SPE7M117D0001_0,CONT_AWD_SPE7LX21F9349_9700_SPE7M117D0001_9700,SPE7LX21F9349,0,0,9700,DEPT OF DEFENSE,SPE7M117D0001,0,66.5,66.5,66.5,66.5
9700_9700_SPE3SU21FKG0T_0_SPE30018DS325_0,CONT_AWD_SPE3SU21FKG0T_9700_SPE30018DS325_9700,SPE3SU21FKG0T,0,0,9700,DEPT OF DEFENSE,SPE30018DS325,0,524.14,524.14,524.14,524.14
3600_-NONE-_VA786A17C0006_P00012_-NONE-_0,CONT_AWD_VA786A17C0006_3600_-NONE-_-NONE-,VA786A17C0006,P00012,0,,,,,-2702291.77,4109326.3,-2702291.77,4109326.3
9700_-NONE-_N4008018D0301_P00003_-NONE-_-NONE-,CONT_IDV_N4008018D0301_9700,N4008018D0301,P00003,,,,,,0,0,,
9700_9700_SPE2DX21FP3FM_0_SPE2DX15D1106_0,CONT_AWD_SPE2DX21FP3FM_9700_SPE2DX15D1106_9700,SPE2DX21FP3FM,0,0,9700,DEPT OF DEFENSE,SPE2DX15D1106,0,1214.25,1214.25,1214.25,1214.25
9700_9700_SPE2DV21FYGC1_0_SPE2DV17D9200_0,CONT_AWD_SPE2DV21FYGC1_9700_SPE2DV17D9200_9700,SPE2DV21FYGC1,0,0,9700,DEPT OF DEFENSE,SPE2DV17D9200,0,217.7,217.7,217.7,217.7
