contract_transaction_unique_key,contract_award_unique_key,award_id_piid,modification_number,transaction_number,parent_award_agency_id,parent_award_agency_name,parent_award_id_piid,parent_award_modification_number,federal_action_obligation,total_dollars_obligated,base_and_exercised_options_value,current_total_value_of_award
4732_4732_47QSEA21F52E9_0_GS07Q1647AJENY_0,CONT_AWD_47QSEA21F52E9_4732_GS07Q1647AJENY_4732,47QSEA21F52E9,0,0,4732,FEDERAL ACQUISITION SERVICE,GS07Q1647AJENY,PM0012,346,346,346,346
4732_-NONE-_47QSEA21P08L7_0_-NONE-_0,CONT_AWD_47QSEA21P08L7_4732_-NONE-_-NONE-,47QSEA21P08L7,0,0,,,,,33.9,33.9,33.9,33.9
9700_9700_SPE3SU21FHTU7_0_SPE30021DS365_0,CONT_AWD_SPE3SU21FHTU7_9700_SPE30021DS365_9700,SPE3SU21FHTU7,0,0,9700,DEPT OF DEFENSE,SPE30021DS365,0,383.9,383.9,383.9,383.9
9700_9700_SPE2D821F02PU_0_SPE2DX16D1500_0,CONT_AWD_SPE2D821F02PU_9700_SPE2DX16D1500_9700,SPE2D821F02PU,0,0,9700,DEPT OF DEFENSE,SPE2DX16D1500,0,79.2,79.2,79.2,79.2
9700_9700_SPE8EL21F107D_0_SPE8EJ21D0020_0,CONT_AWD_SPE8EL21F107D_9700_SPE8EJ21D0020_9700,SPE8EL21F107D,0,0,9700,DEPT OF DEFENSE,SPE8EJ21D0020,0,63487.3,63487.3,63487.3,63487.3
9700_9700_W9124J20F0022_P00007_W9124J20D0006_0,CONT_AWD_W9124J20F0022_9700_W9124J20D0006_9700,W9124J20F0022,P00007,0,9700,DEPT OF DEFENSE,W9124J20D0006,0,318000,1050195,318000,1050195
9700_-NONE-_W58RGZ18D0071_P00005_-NONE-_-NONE-,CONT_IDV_W58RGZ18D0071_9700,W58RGZ18D0071,P00005,,,,,,0,0,,
9700_9700_SPE2DV21F3NY7_0_SPE2DV17D6017_0,CONT_AWD_SPE2DV21F3NY7_9700_SPE2DV17D6017_9700,SPE2DV21F3NY7,0,0,9700,DEPT OF DEFENSE,SPE2DV17D6017,0,116.34,116.34,116.34,116.34
4732_4730_47QSEA21F9S0G_0_GS02FW0003_0,CONT_AWD_47QSEA21F9S0G_4732_GS02FW0003_4730,47QSEA21F9S0G,0,0,4730,FEDERAL ACQUISITION SERVICE,GS02FW0003,PW0077,11.31,11.31,11.31,11.31
9700_9700_SPE3SU21FJHCR_0_SPE30019DSA44_0,CONT_AWD_SPE3SU21FJHCR_9700_SPE30019DSA44_9700,SPE3SU21FJHCR,0,0,9700,DEPT OF DEFENSE,SPE30019DSA44,0,206.81,206.81,206.81,206.81
9700_9700_SPE3SU21F915Z_0_SPE30021DS365_0,CONT_AWD_SPE3SU21F915Z_9700_SPE30021DS365_9700,SPE3SU21F915Z,0,0,9700,DEPT OF DEFENSE,SPE30021DS365,0,392.17,392.17,392.17,392.17
1900_-NONE-_19DR8621A0008_0_-NONE-_-NONE-,CONT_IDV_19DR8621A0008_1900,19DR8621A0008,0,,,,,,0,0,,
9700_9700_SPE4A621FAYYB_0_SPE4AX16D9008_0,CONT_AWD_SPE4A621FAYYB_9700_SPE4AX16D9008_9700,SPE4A621FAYYB,0,0,9700,DEPT OF DEFENSE,SPE4AX16D9008,0,192.96,192.96,192.96,192.96
9700_-NONE-_SPE4A721PE736_0_-NONE-_0,CONT_AWD_SPE4A721PE736_9700_-NONE-_-NONE-,SPE4A721PE736,0,0,,,,,871.08,871.08,871.08,871.08
4732_4732_47QSEA21F72U2_0_47QSEA20A000B_0,CONT_AWD_47QSEA21F72U2_4732_47QSEA20A000B_4732,47QSEA21F72U2,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSEA20A000B,PA0001,3172.63,3172.63,3172.63,3172.63
4732_4732_47QSWA21F2NLR_0_GS07FHA003_0,CONT_AWD_47QSWA21F2NLR_4732_GS07FHA003_4732,47QSWA21F2NLR,0,0,4732,FEDERAL ACQUISITION SERVICE,GS07FHA003,PO0004,86.45,86.45,86.45,86.45
9700_9700_SPE2DX21FEEEP_0_SPE2DX16D4016_0,CONT_AWD_SPE2DX21FEEEP_9700_SPE2DX16D4016_9700,SPE2DX21FEEEP,0,0,9700,DEPT OF DEFENSE,SPE2DX16D4016,0,8300.3,8300.3,8300.3,8300.3
9700_9700_SPE60721FAP38_0_SPE60017D0003_0,CONT_AWD_SPE60721FAP38_9700_SPE60017D0003_9700,SPE60721FAP38,0,0,9700,DEPT OF DEFENSE,SPE60017D0003,0,919.54,919.54,919.54,919.54
7527_-NONE-_75H70921P00002_P00002_-NONE-_0,CONT_AWD_75H70921P00002_7527_-NONE-_-NONE-,75H70921P00002,P00002,0,,,,,22000,40000,22000,58000
9700_9700_SPE2DB21FC93K_0_SPE2DB20D2014_0,CONT_AWD_SPE2DB21FC93K_9700_SPE2DB20D2014_9700,SPE2DB21FC93K,0,0,9700,DEPT OF DEFENSE,SPE2DB20D2014,0,39.6,39.6,39.6,39.6
9700_9700_SPE2DV21F64A1_0_SPE2DV17D3011_0,CONT_AWD_SPE2DV21F64A1_9700_SPE2DV17D3011_9700,SPE2DV21F64A1,0,0,9700,DEPT OF DEFENSE,SPE2DV17D3011,0,29.9,29.9,29.9,29.9
9700_9700_SPE30021F6LGM_0_SPE30020DA024_0,CONT_AWD_SPE30021F6LGM_9700_SPE30020DA024_9700,SPE30021F6LGM,0,0,9700,DEPT OF DEFENSE,SPE30020DA024,0,2816.04,2816.04,2816.04,2816.04
4732_-NONE-_47QSHA21P04XF_0_-NONE-_0,CONT_AWD_47QSHA21P04XF_4732_-NONE-_-NONE-,47QSHA21P04XF,0,0,,,,,174.46,174.46,174.46,174.46
9700_-NONE-_N6133121P0218_0_-NONE-_0,CONT_AWD_N6133121P0218_9700_-NONE-_-NONE-,N6133121P0218,0,0,,,,,2803,2803,2803,2803
4732_4732_47QSEA21F45GA_0_47QSWA20A0014_0,CONT_AWD_47QSEA21F45GA_4732_47QSWA20A0014_4732,47QSEA21F45GA,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSWA20A0014,0,154.66,154.66,154.66,154.66
9700_-NONE-_SPE4A621P1555_0_-NONE-_0,CONT_AWD_SPE4A621P1555_9700_-NONE-_-NONE-,SPE4A621P1555,0,0,,,,,630,630,630,630
9700_9700_SPE2DX21F1L9J_0_SPE2DX15D2106_0,CONT_AWD_SPE2DX21F1L9J_9700_SPE2DX15D2106_9700,SPE2DX21F1L9J,0,0,9700,DEPT OF DEFENSE,SPE2DX15D2106,0,34.74,34.74,34.74,34.74
4732_4732_47QSEA21F6X3B_0_GS21F0083Y_0,CONT_AWD_47QSEA21F6X3B_4732_GS21F0083Y_4732,47QSEA21F6X3B,0,0,4732,FEDERAL ACQUISITION SERVICE,GS21F0083Y,PA0058ADDRESSCHG,47.5,47.5,47.5,47.5
9700_9700_SPE2DV21FUS18_0_SPE2DV17D7002_0,CONT_AWD_SPE2DV21FUS18_9700_SPE2DV17D7002_9700,SPE2DV21FUS18,0,0,9700,DEPT OF DEFENSE,SPE2DV17D7002,0,271.02,271.02,271.02,271.02
9700_9700_SPE2DV21FG5ME_0_SPE2DV17D3003_0,CONT_AWD_SPE2DV21FG5ME_9700_SPE2DV17D3003_9700,SPE2DV21FG5ME,0,0,9700,DEPT OF DEFENSE,SPE2DV17D3003,0,420.85,420.85,420.85,420.85
4732_-NONE-_GS35F046GA_PA0014_-NONE-_-NONE-,CONT_IDV_GS35F046GA_4732,GS35F046GA,PA0014,,,,,,0,0,,
9700_9700_SPE8E321FJ2ZY_0_SPE8E320D0006_0,CONT_AWD_SPE8E321FJ2ZY_9700_SPE8E320D0006_9700,SPE8E321FJ2ZY,0,0,9700,DEPT OF DEFENSE,SPE8E320D0006,0,1975.42,1975.42,1975.42,1975.42
9700_9700_SPE2DV21F52AN_0_SPE2DV17D4004_0,CONT_AWD_SPE2DV21F52AN_9700_SPE2DV17D4004_9700,SPE2DV21F52AN,0,0,9700,DEPT OF DEFENSE,SPE2DV17D4004,0,50.4,50.4,50.4,50.4
9700_9700_HC101321FA203_P00003_HC101320D0002_0,CONT_AWD_HC101321FA203_9700_HC101320D0002_9700,HC101321FA203,P00003,0,9700,DEPT OF DEFENSE,HC101320D0002,0,-586,293,-586,293
7300_-NONE-_SBAHQ17M0128_P00009_-NONE-_0,CONT_AWD_SBAHQ17M0128_7300_-NONE-_-NONE-,SBAHQ17M0128,P00009,0,,,,,15203.19,73092.83,15203.19,73092.83
3600_-NONE-_36C24821P1349_0_-NONE-_0,CONT_AWD_36C24821P1349_3600_-NONE-_-NONE-,36C24821P1349,0,0,,,,,205070,205070,205070,205070
9700_9700_SP47W121F695F_0_SP47W119D0016_0,CONT_AWD_SP47W121F695F_9700_SP47W119D0016_9700,SP47W121F695F,0,0,9700,DEPT OF DEFENSE,SP47W119D0016,0,182.28,0,182.28,0
9700_9700_SPE3SU21FC22M_0_SPE30017DS301_0,CONT_AWD_SPE3SU21FC22M_9700_SPE30017DS301_9700,SPE3SU21FC22M,0,0,9700,DEPT OF DEFENSE,SPE30017DS301,0,385.05,385.05,385.05,385.05
9700_9700_N6893620F0463_P00003_N6893619D0033_0,CONT_AWD_N6893620F0463_9700_N6893619D0033_9700,N6893620F0463,P00003,0,9700,DEPT OF DEFENSE,N6893619D0033,P00007,450000,1780000,0,2254283.8
9700_9700_SPE2DV21FBE7N_0_SPE2DV17D9272_0,CONT_AWD_SPE2DV21FBE7N_9700_SPE2DV17D9272_9700,SPE2DV21FBE7N,0,0,9700,DEPT OF DEFENSE,SPE2DV17D9272,0,739.68,739.68,739.68,739.68
9700_4735_HC101320FA090_P00014_GS00T07NSD0038_0,CONT_AWD_HC101320FA090_9700_GS00T07NSD0038_4735,HC101320FA090,P00014,0,4735,FEDERAL ACQUISITION SERVICE,GS00T07NSD0038,0,93.78,5405.96,93.78,5405.96
4732_4732_47QSEA21F606V_0_47QSEA20A000B_0,CONT_AWD_47QSEA21F606V_4732_47QSEA20A000B_4732,47QSEA21F606V,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSEA20A000B,0,5490.81,5490.81,5490.81,5490.81
4732_4732_47QSWA21F0RG7_0_47QSWA18A001H_0,CONT_AWD_47QSWA21F0RG7_4732_47QSWA18A001H_4732,47QSWA21F0RG7,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSWA18A001H,0,186.5,186.5,186.5,186.5
1204_-NONE-_123J1921P0015_0_-NONE-_0,CONT_AWD_123J1921P0015_1204_-NONE-_-NONE-,123J1921P0015,0,0,,,,,11402,11402,11402,11402
4732_4732_47QSWA21F11G0_0_GS07Q1647AJN2E_0,CONT_AWD_47QSWA21F11G0_4732_GS07Q1647AJN2E_4732,47QSWA21F11G0,0,0,4732,FEDERAL ACQUISITION SERVICE,GS07Q1647AJN2E,PM0015,686.2,686.2,686.2,686.2
9700_9700_SPE60721FDE1U_0_SPE60720D0027_0,CONT_AWD_SPE60721FDE1U_9700_SPE60720D0027_9700,SPE60721FDE1U,0,0,9700,DEPT OF DEFENSE,SPE60720D0027,0,42.63,42.63,42.63,42.63
9700_-NONE-_SPE4A721P5646_0_-NONE-_0,CONT_AWD_SPE4A721P5646_9700_-NONE-_-NONE-,SPE4A721P5646,0,0,,,,,13914,13914,13914,13914
9700_-NONE-_SPE8ES21P0586_0_-NONE-_0,CONT_AWD_SPE8ES21P0586_9700_-NONE-_-NONE-,SPE8ES21P0586,0,0,,,,,947.84,0,947.84,0
9700_9700_SPE4A221F3425_0_SPE4AX20D9412_0,CONT_AWD_SPE4A221F3425_9700_SPE4AX20D9412_9700,SPE4A221F3425,0,0,9700,DEPT OF DEFENSE,SPE4AX20D9412,0,65.26,65.26,65.26,65.26
9700_9700_SPE7L121F203A_0_SPE7LX19D0029_0,CONT_AWD_SPE7L121F203A_9700_SPE7LX19D0029_9700,SPE7L121F203A,0,0,9700,DEPT OF DEFENSE,SPE7LX19D0029,0,913.76,913.76,913.76,913.76
9700_9700_SPE2DV21F9G39_0_SPE2DV17D2008_0,CONT_AWD_SPE2DV21F9G39_9700_SPE2DV17D2008_9700,SPE2DV21F9G39,0,0,9700,DEPT OF DEFENSE,SPE2DV17D2008,0,130.37,130.37,130.37,130.37
9700_9700_N3943021F4044_0_N3943017D1953_0,CONT_AWD_N3943021F4044_9700_N3943017D1953_9700,N3943021F4044,0,0,9700,DEPT OF DEFENSE,N3943017D1953,0,85276.42,85276.42,85276.42,85276.42
9700_9700_SPE2DX21F0LX9_0_SPE2DX15D3015_0,CONT_AWD_SPE2DX21F0LX9_9700_SPE2DX15D3015_9700,SPE2DX21F0LX9,0,0,9700,DEPT OF DEFENSE,SPE2DX15D3015,0,10787.52,10787.52,10787.52,10787.52
9700_9700_SPE30021F1WN5_0_SPE30019D4045_0,CONT_AWD_SPE30021F1WN5_9700_SPE30019D4045_9700,SPE30021F1WN5,0,0,9700,DEPT OF DEFENSE,SPE30019D4045,0,756,756,756,756
9700_9700_SPE8ES21F48TU_0_SPE8EG19D0103_0,CONT_AWD_SPE8ES21F48TU_9700_SPE8EG19D0103_9700,SPE8ES21F48TU,0,0,9700,DEPT OF DEFENSE,SPE8EG19D0103,0,291.64,291.64,291.64,291.64
2036_-NONE-_20342320C00003_P00014_-NONE-_0,CONT_AWD_20342320C00003_2036_-NONE-_-NONE-,20342320C00003,P00014,0,,,,,25000,4872893.42,25000,5072736.28
4732_4732_47QSHA21F29E3_0_GS06Q16GVAM022_0,CONT_AWD_47QSHA21F29E3_4732_GS06Q16GVAM022_4732,47QSHA21F29E3,0,0,4732,FEDERAL ACQUISITION SERVICE,GS06Q16GVAM022,PS0021,293.89,293.89,293.89,293.89
9700_9700_SPE30021F3WK5_0_SPE30017DP302_0,CONT_AWD_SPE30021F3WK5_9700_SPE30017DP302_9700,SPE30021F3WK5,0,0,9700,DEPT OF DEFENSE,SPE30017DP302,0,337.81,337.81,337.81,337.81
9700_9700_SPE2DV21F78NX_0_SPE2DV17D9103_0,CONT_AWD_SPE2DV21F78NX_9700_SPE2DV17D9103_9700,SPE2DV21F78NX,0,0,9700,DEPT OF DEFENSE,SPE2DV17D9103,0,42284.05,42284.05,42284.05,42284.05
9700_-NONE-_SPE7M321P1656_0_-NONE-_0,CONT_AWD_SPE7M321P1656_9700_-NONE-_-NONE-,SPE7M321P1656,0,0,,,,,95.2,95.2,95.2,95.2
9700_9700_SPE7LX21FAXDL_0_SPE7L121D0013_0,CONT_AWD_SPE7LX21FAXDL_9700_SPE7L121D0013_9700,SPE7LX21FAXDL,0,0,9700,DEPT OF DEFENSE,SPE7L121D0013,0,2222.96,2222.96,2222.96,2222.96
9700_9700_SPE7M221FB1AA_0_SPE4AX16D9008_0,CONT_AWD_SPE7M221FB1AA_9700_SPE4AX16D9008_9700,SPE7M221FB1AA,0,0,9700,DEPT OF DEFENSE,SPE4AX16D9008,0,44.28,44.28,44.28,44.28
9700_9700_SPE2DM21FD7UD_0_SPE2DM20D4009_0,CONT_AWD_SPE2DM21FD7UD_9700_SPE2DM20D4009_9700,SPE2DM21FD7UD,0,0,9700,DEPT OF DEFENSE,SPE2DM20D4009,0,177.25,177.25,177.25,177.25
9700_9700_SPE2DV21FXRG0_0_SPE2DV17D9200_0,CONT_AWD_SPE2DV21FXRG0_9700_SPE2DV17D9200_9700,SPE2DV21FXRG0,0,0,9700,DEPT OF DEFENSE,SPE2DV17D9200,0,2665.46,2665.46,2665.46,2665.46
9700_9700_SPE2D621F5PK9_0_SPE2DE17D0006_0,CONT_AWD_SPE2D621F5PK9_9700_SPE2DE17D0006_9700,SPE2D621F5PK9,0,0,9700,DEPT OF DEFENSE,SPE2DE17D0006,0,341.19,341.19,341.19,341.19
9700_9700_SPE30021F5CJ3_0_SPE30017D4024_0,CONT_AWD_SPE30021F5CJ3_9700_SPE30017D4024_9700,SPE30021F5CJ3,0,0,9700,DEPT OF DEFENSE,SPE30017D4024,0,5557.33,5557.33,5557.33,5557.33
9700_9700_SPE2DV21FK3HF_0_SPE2DV17D5000_0,CONT_AWD_SPE2DV21FK3HF_9700_SPE2DV17D5000_9700,SPE2DV21FK3HF,0,0,9700,DEPT OF DEFENSE,SPE2DV17D5000,0,3282.93,3282.93,3282.93,3282.93
9700_9700_SPE2DX21FXEX3_0_SPE2DX15D3501_0,CONT_AWD_SPE2DX21FXEX3_9700_SPE2DX15D3501_9700,SPE2DX21FXEX3,0,0,9700,DEPT OF DEFENSE,SPE2DX15D3501,0,259.24,259.24,259.24,259.24
4732_4732_47QSEA21F86RQ_0_47QSEA21A0009_0,CONT_AWD_47QSEA21F86RQ_4732_47QSEA21A0009_4732,47QSEA21F86RQ,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSEA21A0009,0,164.5,164.5,164.5,164.5
4732_4732_47QSHA21F1AC0_0_GS06Q16GVAM006_0,CONT_AWD_47QSHA21F1AC0_4732_GS06Q16GVAM006_4732,47QSHA21F1AC0,0,0,4732,FEDERAL ACQUISITION SERVICE,GS06Q16GVAM006,PS0020,10.4,10.4,10.4,10.4
4732_4732_47QSWA21F026S_P00001_47QSWA20A001R_0,CONT_AWD_47QSWA21F026S_4732_47QSWA20A001R_4732,47QSWA21F026S,P00001,0,4732,FEDERAL ACQUISITION SERVICE,47QSWA20A001R,0,-117.2,0,-117.2,0
9700_4732_W912P821F0127_0_GS06F0859Z_0,CONT_AWD_W912P821F0127_9700_GS06F0859Z_4732,W912P821F0127,0,0,4732,FEDERAL ACQUISITION SERVICE,GS06F0859Z,PW0009,34362.22,34362.22,34362.22,34362.22
9700_-NONE-_SPE4A621P9401_0_-NONE-_0,CONT_AWD_SPE4A621P9401_9700_-NONE-_-NONE-,SPE4A621P9401,0,0,,,,,560.61,0,560.61,0
9700_9700_SPE8ES21F47J7_0_SPE8EG19D0103_0,CONT_AWD_SPE8ES21F47J7_9700_SPE8EG19D0103_9700,SPE8ES21F47J7,0,0,9700,DEPT OF DEFENSE,SPE8EG19D0103,0,6.31,6.31,6.31,6.31
9700_9700_SPE2D621F2C2J_0_SPE2DE19D0001_0,CONT_AWD_SPE2D621F2C2J_9700_SPE2DE19D0001_9700,SPE2D621F2C2J,0,0,9700,DEPT OF DEFENSE,SPE2DE19D0001,0,47.19,47.19,47.19,47.19
4732_4732_47QSEA21F1MZN_0_47QSCC18D0001_0,CONT_AWD_47QSEA21F1MZN_4732_47QSCC18D0001_4732,47QSEA21F1MZN,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSCC18D0001,PS0010,26.28,26.28,26.28,26.28
9700_9700_SPE8ES21F32VN_0_SPE8EG19D0103_0,CONT_AWD_SPE8ES21F32VN_9700_SPE8EG19D0103_9700,SPE8ES21F32VN,0,0,9700,DEPT OF DEFENSE,SPE8EG19D0103,0,162.55,162.55,162.55,162.55
9700_-NONE-_SPE4A621V746J_0_-NONE-_0,CONT_AWD_SPE4A621V746J_9700_-NONE-_-NONE-,SPE4A621V746J,0,0,,,,,265,265,265,265
4732_4732_47QSHA21F112Y_0_GS06Q16GVAM022_0,CONT_AWD_47QSHA21F112Y_4732_GS06Q16GVAM022_4732,47QSHA21F112Y,0,0,4732,FEDERAL ACQUISITION SERVICE,GS06Q16GVAM022,PS0021,51.04,51.04,51.04,51.04
9700_-NONE-_N0060420P4065_P00001_-NONE-_0,CONT_AWD_N0060420P4065_9700_-NONE-_-NONE-,N0060420P4065,P00001,0,,,,,0,560648.11,0,560648.11
4732_4732_47QSHA21F4121_0_GS06Q16GVAM022_0,CONT_AWD_47QSHA21F4121_4732_GS06Q16GVAM022_4732,47QSHA21F4121,0,0,4732,FEDERAL ACQUISITION SERVICE,GS06Q16GVAM022,PS0021,28.79,28.79,28.79,28.79
9700_9700_SPE2DM21FS9JJ_0_SPE2DM20D9202_0,CONT_AWD_SPE2DM21FS9JJ_9700_SPE2DM20D9202_9700,SPE2DM21FS9JJ,0,0,9700,DEPT OF DEFENSE,SPE2DM20D9202,0,167.28,167.28,167.28,167.28
9700_9700_SPE4A721FAYZT_0_SPE4A515D0018_0,CONT_AWD_SPE4A721FAYZT_9700_SPE4A515D0018_9700,SPE4A721FAYZT,0,0,9700,DEPT OF DEFENSE,SPE4A515D0018,0,1233.6,1233.6,1233.6,1233.6
1524_1524_15DD0S21F00000441_P00001_15DDHQ19A00000001_0,CONT_AWD_15DD0S21F00000441_1524_15DDHQ19A00000001_1524,15DD0S21F00000441,P00001,0,1524,DRUG ENFORCEMENT ADMINISTRATION,15DDHQ19A00000001,P00011,-25265.67,4493.61,-25265.67,4493.61
9700_9700_SPE3SU21F23QA_0_SPE30020DS742_0,CONT_AWD_SPE3SU21F23QA_9700_SPE30020DS742_9700,SPE3SU21F23QA,0,0,9700,DEPT OF DEFENSE,SPE30020DS742,0,554.55,554.55,554.55,554.55
4732_4732_47QSCC21F2S7L_0_47QSCC19A0002_0,CONT_AWD_47QSCC21F2S7L_4732_47QSCC19A0002_4732,47QSCC21F2S7L,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSCC19A0002,PS0002,1634.58,1634.58,1634.58,1634.58
9700_9700_SPE3SU21F0G4P_0_SPE30018DS320_0,CONT_AWD_SPE3SU21F0G4P_9700_SPE30018DS320_9700,SPE3SU21F0G4P,0,0,9700,DEPT OF DEFENSE,SPE30018DS320,0,467.47,467.47,467.47,467.47
4732_4732_47QSEA21F4J03_0_47QSEA20A000P_0,CONT_AWD_47QSEA21F4J03_4732_47QSEA20A000P_4732,47QSEA21F4J03,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSEA20A000P,0,5.34,5.34,5.34,5.34
9700_-NONE-_SPE4A721P6297_0_-NONE-_0,CONT_AWD_SPE4A721P6297_9700_-NONE-_-NONE-,SPE4A721P6297,0,0,,,,,2405,2405,2405,2405
4732_4732_47QSEA21F5KGW_0_47QSEA20A0009_0,CONT_AWD_47QSEA21F5KGW_4732_47QSEA20A0009_4732,47QSEA21F5KGW,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSEA20A0009,PA0008,476.1,476.1,476.1,476.1
4732_4732_47QSEA21F6YFY_0_47QSEA20A000C_0,CONT_AWD_47QSEA21F6YFY_4732_47QSEA20A000C_4732,47QSEA21F6YFY,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSEA20A000C,PO0004,6.61,6.61,6.61,6.61
9700_9700_SPE2DB21FZ52R_0_SPE2DB20D1100_0,CONT_AWD_SPE2DB21FZ52R_9700_SPE2DB20D1100_9700,SPE2DB21FZ52R,0,0,9700,DEPT OF DEFENSE,SPE2DB20D1100,0,15,15,15,15
9700_9700_SPE3SU21F5KQT_0_SPE30018DS335_0,CONT_AWD_SPE3SU21F5KQT_9700_SPE30018DS335_9700,SPE3SU21F5KQT,0,0,9700,DEPT OF DEFENSE,SPE30018DS335,0,225.34,225.34,225.34,225.34
1330_1301_1331L521FNWWX0016_0_1331L519A13ES0038_0,CONT_AWD_1331L521FNWWX0016_1330_1331L519A13ES0038_1301,1331L521FNWWX0016,0,0,1301,OFFICE OF THE SECRETARY,1331L519A13ES0038,0,132803,132803,132803,132803
9700_9700_SPE2DV21FCDN1_0_SPE2DV17D6030_0,CONT_AWD_SPE2DV21FCDN1_9700_SPE2DV17D6030_9700,SPE2DV21FCDN1,0,0,9700,DEPT OF DEFENSE,SPE2DV17D6030,0,483.97,483.97,483.97,483.97
9700_9700_SPE7L121FAC7U_0_SPE7LX21D0081_0,CONT_AWD_SPE7L121FAC7U_9700_SPE7LX21D0081_9700,SPE7L121FAC7U,0,0,9700,DEPT OF DEFENSE,SPE7LX21D0081,0,1.89,1.89,1.89,1.89
9700_-NONE-_SPE60318C5004_P00005_-NONE-_0,CONT_AWD_SPE60318C5004_9700_-NONE-_-NONE-,SPE60318C5004,P00005,0,,,,,0,819072,0,819072
9700_9700_SPE2D821FCN64_0_SPM2DX13D1000_0,CONT_AWD_SPE2D821FCN64_9700_SPM2DX13D1000_9700,SPE2D821FCN64,0,0,9700,DEPT OF DEFENSE,SPM2DX13D1000,0,103965.1,103965.1,103965.1,103965.1
4732_4730_47QSWA21F74PV_0_GS07FP0084_0,CONT_AWD_47QSWA21F74PV_4732_GS07FP0084_4730,47QSWA21F74PV,0,0,4730,FEDERAL ACQUISITION SERVICE,GS07FP0084,PW0041,3306,3306,3306,3306
9700_9700_SPM7LX21FL35R_0_SPE7MX17D0038_0,CONT_AWD_SPM7LX21FL35R_9700_SPE7MX17D0038_9700,SPM7LX21FL35R,0,0,9700,DEPT OF DEFENSE,SPE7MX17D0038,P00045,9509.82,9509.82,9509.82,9509.82
9700_9700_SP47W121F281S_0_SP47W117D0040_0,CONT_AWD_SP47W121F281S_9700_SP47W117D0040_9700,SP47W121F281S,0,0,9700,DEPT OF DEFENSE,SP47W117D0040,0,54.4,54.4,54.4,54.4
9700_-NONE-_FA865021D4012_0_-NONE-_-NONE-,CONT_IDV_FA865021D4012_9700,FA865021D4012,0,,,,,,0,0,,
9700_-NONE-_FA864921P0823_P00001_-NONE-_0,CONT_AWD_FA864921P0823_9700_-NONE-_-NONE-,FA864921P0823,P00001,0,,,,,0,749872,0,749872
4732_4732_47QSWA21F0E4S_0_47QSWA18D004K_0,CONT_AWD_47QSWA21F0E4S_4732_47QSWA18D004K_4732,47QSWA21F0E4S,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSWA18D004K,0,503.68,503.68,503.68,503.68
9700_-NONE-_W912HY19C0017_A00004_-NONE-_0,CONT_AWD_W912HY19C0017_9700_-NONE-_-NONE-,W912HY19C0017,A00004,0,,,,,-15619,11681710.92,-15619,11681710.92
9700_9700_SPM5E121FA011_0_SPM5E118D9000_0,CONT_AWD_SPM5E121FA011_9700_SPM5E118D9000_9700,SPM5E121FA011,0,0,9700,DEPT OF DEFENSE,SPM5E118D9000,0,255.19,255.19,255.19,255.19
9700_9700_SPE30021F7EC4_0_SPE30017D4024_0,CONT_AWD_SPE30021F7EC4_9700_SPE30017D4024_9700,SPE30021F7EC4,0,0,9700,DEPT OF DEFENSE,SPE30017D4024,0,18434.67,18434.67,18434.67,18434.67
9700_9700_SPE2DX21F7UV5_0_SPE2DX15D2012_0,CONT_AWD_SPE2DX21F7UV5_9700_SPE2DX15D2012_9700,SPE2DX21F7UV5,0,0,9700,DEPT OF DEFENSE,SPE2DX15D2012,0,231.75,231.75,231.75,231.75
9700_9700_SPE60721FE13F_0_SPE60719D0076_0,CONT_AWD_SPE60721FE13F_9700_SPE60719D0076_9700,SPE60721FE13F,0,0,9700,DEPT OF DEFENSE,SPE60719D0076,0,1139.94,1139.94,1139.94,1139.94
9700_9700_W9124J20F0022_P00012_W9124J20D0006_0,CONT_AWD_W9124J20F0022_9700_W9124J20D0006_9700,W9124J20F0022,P00012,0,9700,DEPT OF DEFENSE,W9124J20D0006,0,95000,1406860.5,95000,1501860.5
4732_4732_47QSWA21F0E7U_0_GS07FDA430_0,CONT_AWD_47QSWA21F0E7U_4732_GS07FDA430_4732,47QSWA21F0E7U,0,0,4732,FEDERAL ACQUISITION SERVICE,GS07FDA430,PO0005,41.04,41.04,41.04,41.04
4732_4732_47QSEA21F6RT4_0_47QSEA19A0004_0,CONT_AWD_47QSEA21F6RT4_4732_47QSEA19A0004_4732,47QSEA21F6RT4,0,0,4732,FEDERAL ACQUISITION SERVICE,47QSEA19A0004,PO0003,31.5,31.5,31.5,31.5
9700_9700_SPE2DV21FEJU1_0_SPE2DV17D6030_0,CONT_AWD_SPE2DV21FEJU1_9700_SPE2DV17D6030_9700,SPE2DV21FEJU1,0,0,9700,DEPT OF DEFENSE,SPE2DV17D6030,0,495.8,495.8,495.8,495.8
